iter	Passed	Remaining
0	2	2425
1	6	3094
2	10	3337
3	13	3420
4	17	3440
5	20	3462
6	24	3507
7	28	3516
8	32	3528
9	35	3522
10	39	3540
11	43	3564
12	47	3569
13	50	3577
14	54	3577
15	58	3607
16	62	3608
17	66	3607
18	70	3616
19	74	3627
20	77	3622
21	81	3613
22	85	3616
23	89	3623
24	92	3621
25	96	3612
26	100	3611
27	104	3622
28	108	3617
29	111	3612
30	115	3609
31	119	3613
32	123	3627
33	127	3630
34	131	3626
35	135	3638
36	139	3635
37	143	3633
38	147	3624
39	150	3620
40	154	3621
41	158	3616
42	162	3613
43	166	3608
44	169	3606
45	173	3600
46	177	3597
47	181	3590
48	185	3592
49	188	3587
50	192	3584
51	196	3583
52	200	3587
53	204	3590
54	209	3597
55	213	3598
56	217	3600
57	221	3601
58	226	3606
59	230	3607
60	234	3610
61	238	3608
62	242	3608
63	246	3608
64	251	3610
65	255	3612
66	259	3614
67	263	3617
68	268	3619
69	272	3626
70	277	3626
71	281	3628
72	285	3628
73	289	3624
74	293	3619
75	297	3611
76	300	3607
77	304	3600
78	308	3593
79	312	3591
80	316	3587
81	319	3575
82	323	3569
83	326	3558
84	330	3557
85	334	3551
86	337	3546
87	341	3535
88	345	3531
89	348	3522
90	351	3513
91	355	3503
92	358	3496
93	361	3487
94	365	3480
95	368	3473
96	372	3465
97	376	3461
98	379	3453
99	382	3444
100	386	3436
101	389	3428
102	392	3420
103	396	3412
104	399	3403
105	402	3394
106	406	3394
107	410	3392
108	414	3384
109	417	3376
110	420	3371
111	424	3365
112	427	3356
113	430	3348
114	434	3341
115	437	3334
116	441	3328
117	444	3321
118	447	3314
119	451	3307
120	455	3309
121	459	3303
122	462	3296
123	465	3291
124	469	3284
125	472	3278
126	476	3272
127	479	3266
128	482	3261
129	486	3256
130	490	3250
131	493	3244
132	496	3239
133	500	3233
134	503	3228
135	507	3222
136	510	3215
137	513	3209
138	517	3208
139	521	3205
140	525	3201
141	528	3195
142	532	3192
143	536	3189
144	540	3186
145	544	3184
146	548	3182
147	552	3180
148	555	3173
149	559	3170
150	562	3164
151	566	3158
152	569	3152
153	572	3147
154	576	3141
155	579	3135
156	583	3130
157	586	3127
158	590	3121
159	593	3114
160	596	3108
161	600	3104
162	603	3100
163	607	3095
164	610	3089
165	613	3084
166	617	3081
167	621	3075
168	624	3070
169	627	3065
170	631	3061
171	634	3056
172	638	3050
173	641	3045
174	645	3041
175	648	3036
176	651	3031
177	655	3026
178	658	3020
179	662	3016
180	665	3011
181	668	3006
182	672	3001
183	675	2996
184	679	2993
185	683	2989
186	686	2983
187	689	2978
188	693	2976
189	697	2971
190	700	2966
191	703	2962
192	707	2958
193	711	2954
194	714	2948
195	717	2943
196	720	2938
197	724	2934
198	727	2929
199	731	2925
200	734	2920
201	738	2916
202	742	2913
203	745	2909
204	748	2904
205	752	2901
206	756	2896
207	759	2891
208	762	2887
209	766	2882
210	769	2878
211	773	2874
212	776	2870
213	780	2865
214	783	2860
215	786	2856
216	790	2851
217	793	2847
218	799	2850
219	802	2846
220	806	2842
221	810	2839
222	813	2835
223	818	2834
224	821	2830
225	825	2826
226	829	2823
227	832	2818
228	835	2813
229	839	2810
230	842	2806
231	846	2801
232	849	2796
233	852	2792
234	856	2787
235	859	2783
236	863	2778
237	866	2773
238	869	2769
239	873	2765
240	877	2762
241	880	2758
242	884	2754
243	887	2750
244	891	2746
245	894	2742
246	897	2737
247	901	2732
248	904	2728
249	908	2724
250	911	2719
251	914	2714
252	918	2710
253	921	2706
254	924	2701
255	928	2697
256	931	2693
257	934	2689
258	938	2684
259	941	2679
260	944	2675
261	948	2672
262	952	2668
263	955	2664
264	958	2659
265	962	2655
266	966	2652
267	969	2648
268	972	2644
269	976	2639
270	979	2635
271	983	2631
272	986	2627
273	990	2623
274	993	2619
275	997	2616
276	1000	2611
277	1003	2607
278	1007	2602
279	1010	2599
280	1014	2595
281	1017	2591
282	1021	2587
283	1025	2584
284	1028	2580
285	1032	2576
286	1035	2572
287	1038	2567
288	1042	2563
289	1045	2560
290	1049	2556
291	1052	2552
292	1056	2548
293	1059	2544
294	1063	2540
295	1066	2536
296	1070	2532
297	1073	2528
298	1076	2524
299	1080	2520
300	1084	2517
301	1087	2514
302	1091	2510
303	1094	2506
304	1097	2501
305	1101	2497
306	1104	2493
307	1108	2489
308	1111	2485
309	1115	2481
310	1118	2477
311	1121	2473
312	1125	2470
313	1128	2466
314	1133	2465
315	1137	2461
316	1141	2458
317	1144	2454
318	1148	2450
319	1151	2446
320	1154	2442
321	1158	2439
322	1161	2435
323	1165	2431
324	1168	2427
325	1172	2423
326	1175	2419
327	1179	2415
328	1182	2411
329	1185	2407
330	1189	2403
331	1192	2400
332	1196	2396
333	1199	2392
334	1203	2388
335	1207	2385
336	1210	2381
337	1213	2377
338	1217	2373
339	1221	2370
340	1224	2366
341	1228	2362
342	1231	2358
343	1235	2355
344	1238	2351
345	1241	2347
346	1245	2343
347	1248	2339
348	1252	2336
349	1255	2332
350	1259	2328
351	1262	2324
352	1265	2320
353	1269	2316
354	1272	2312
355	1275	2308
356	1279	2304
357	1283	2300
358	1286	2296
359	1289	2292
360	1293	2288
361	1296	2284
362	1300	2281
363	1303	2277
364	1306	2273
365	1310	2269
366	1313	2265
367	1317	2262
368	1320	2257
369	1323	2253
370	1327	2250
371	1330	2246
372	1334	2242
373	1337	2238
374	1341	2235
375	1344	2231
376	1348	2227
377	1351	2223
378	1355	2220
379	1358	2217
380	1362	2213
381	1365	2209
382	1369	2205
383	1372	2201
384	1375	2197
385	1379	2194
386	1382	2190
387	1386	2186
388	1389	2183
389	1393	2179
390	1396	2175
391	1400	2171
392	1403	2168
393	1407	2164
394	1410	2160
395	1414	2157
396	1417	2153
397	1420	2149
398	1424	2145
399	1427	2141
400	1431	2138
401	1435	2135
402	1438	2131
403	1442	2127
404	1445	2123
405	1449	2119
406	1452	2116
407	1455	2112
408	1459	2108
409	1462	2104
410	1465	2100
411	1469	2096
412	1472	2093
413	1476	2089
414	1479	2085
415	1482	2081
416	1485	2077
417	1489	2073
418	1493	2070
419	1496	2067
420	1500	2063
421	1503	2059
422	1506	2055
423	1510	2051
424	1513	2047
425	1516	2043
426	1520	2039
427	1523	2036
428	1527	2032
429	1530	2028
430	1533	2025
431	1537	2021
432	1541	2018
433	1544	2014
434	1547	2010
435	1551	2007
436	1555	2003
437	1558	1999
438	1561	1996
439	1565	1992
440	1568	1988
441	1572	1984
442	1575	1981
443	1578	1977
444	1582	1974
445	1586	1970
446	1589	1967
447	1593	1963
